"","datazone","total_count","workingage_count"
"1","S01000001",862,575
"2","S01000002",311,258
"3","S01000003",822,574
"4","S01000004",455,348
"5","S01000005",660,455
"6","S01000006",677,369
"7","S01000007",879,534
"8","S01000008",584,338
"9","S01000009",692,478
"10","S01000010",554,375
"11","S01000011",893,552
"12","S01000012",771,545
"13","S01000013",911,558
"14","S01000014",958,671
"15","S01000015",671,474
"16","S01000016",579,371
"17","S01000017",1037,721
"18","S01000018",649,522
"19","S01000019",616,393
"20","S01000020",887,469
"21","S01000021",937,565
"22","S01000022",800,496
"23","S01000023",778,480
"24","S01000024",701,446
"25","S01000025",933,587
"26","S01000026",974,540
"27","S01000027",844,529
"28","S01000028",1003,549
"29","S01000029",750,469
"30","S01000030",511,295
"31","S01000031",882,523
"32","S01000032",1187,667
"33","S01000033",747,397
"34","S01000034",1052,675
"35","S01000035",1059,678
"36","S01000036",744,441
"37","S01000037",925,593
"38","S01000038",877,534
"39","S01000039",936,529
"40","S01000040",1039,624
"41","S01000041",904,541
"42","S01000042",815,516
"43","S01000043",848,524
"44","S01000044",1002,530
"45","S01000045",628,395
"46","S01000046",796,461
"47","S01000047",754,384
"48","S01000048",955,589
"49","S01000049",791,463
"50","S01000050",672,389
"51","S01000051",824,419
"52","S01000052",726,440
"53","S01000053",951,553
"54","S01000054",816,403
"55","S01000055",778,475
"56","S01000056",1110,655
"57","S01000057",759,453
"58","S01000058",739,469
"59","S01000059",809,552
"60","S01000060",587,361
"61","S01000061",919,529
"62","S01000062",1039,778
"63","S01000063",1010,648
"64","S01000064",674,426
"65","S01000065",962,734
"66","S01000066",855,646
"67","S01000067",916,534
"68","S01000068",807,498
"69","S01000069",754,427
"70","S01000070",695,413
"71","S01000071",824,486
"72","S01000072",919,521
"73","S01000073",606,339
"74","S01000074",864,509
"75","S01000075",329,229
"76","S01000076",785,463
"77","S01000077",937,647
"78","S01000078",896,716
"79","S01000079",870,672
"80","S01000080",956,753
"81","S01000081",962,605
"82","S01000082",997,568
"83","S01000083",766,529
"84","S01000084",762,581
"85","S01000085",617,516
"86","S01000086",799,582
"87","S01000087",882,619
"88","S01000088",556,442
"89","S01000089",1008,567
"90","S01000090",885,649
"91","S01000091",1025,801
"92","S01000092",834,713
"93","S01000093",566,450
"94","S01000094",514,436
"95","S01000095",726,555
"96","S01000096",730,364
"97","S01000097",1124,718
"98","S01000098",1143,984
"99","S01000099",781,463
"100","S01000100",796,689
"101","S01000101",1024,701
"102","S01000102",775,526
"103","S01000103",636,526
"104","S01000104",885,515
"105","S01000105",810,542
"106","S01000106",751,466
"107","S01000107",1117,946
"108","S01000108",749,512
"109","S01000109",1057,793
"110","S01000110",781,388
"111","S01000111",781,538
"112","S01000112",955,684
"113","S01000113",581,361
"114","S01000114",882,490
"115","S01000115",885,483
"116","S01000116",1012,845
"117","S01000117",1056,575
"118","S01000118",755,415
"119","S01000119",821,627
"120","S01000120",590,437
"121","S01000121",824,471
"122","S01000122",774,429
"123","S01000123",774,508
"124","S01000124",871,703
"125","S01000125",884,644
"126","S01000126",912,578
"127","S01000127",830,511
"128","S01000128",1290,1138
"129","S01000129",506,447
"130","S01000130",965,657
"131","S01000131",668,470
"132","S01000132",818,625
"133","S01000133",713,407
"134","S01000134",818,436
"135","S01000135",741,460
"136","S01000136",759,426
"137","S01000137",796,629
"138","S01000138",763,616
"139","S01000139",885,509
"140","S01000140",1069,640
"141","S01000141",1012,725
"142","S01000142",821,456
"143","S01000143",647,397
"144","S01000144",643,566
"145","S01000145",1016,566
"146","S01000146",1111,919
"147","S01000147",799,642
"148","S01000148",733,392
"149","S01000149",983,761
"150","S01000150",654,356
"151","S01000151",955,490
"152","S01000152",1015,689
"153","S01000153",563,405
"154","S01000154",612,373
"155","S01000155",842,466
"156","S01000156",1081,802
"157","S01000157",835,374
"158","S01000158",1010,579
"159","S01000159",1012,640
"160","S01000160",863,526
"161","S01000161",1043,813
"162","S01000162",942,550
"163","S01000163",1083,646
"164","S01000164",424,212
"165","S01000165",835,455
"166","S01000166",1211,948
"167","S01000167",737,448
"168","S01000168",1022,628
"169","S01000169",808,520
"170","S01000170",1042,792
"171","S01000171",5,5
"172","S01000172",521,309
"173","S01000173",849,487
"174","S01000174",402,278
"175","S01000175",380,312
"176","S01000176",617,497
"177","S01000177",554,400
"178","S01000178",796,507
"179","S01000179",861,406
"180","S01000180",732,427
"181","S01000181",734,464
"182","S01000182",950,594
"183","S01000183",1137,819
"184","S01000184",816,521
"185","S01000185",507,297
"186","S01000186",986,473
"187","S01000187",756,447
"188","S01000188",1292,984
"189","S01000189",711,413
"190","S01000190",948,584
"191","S01000191",930,638
"192","S01000192",847,552
"193","S01000193",846,540
"194","S01000194",815,578
"195","S01000195",855,554
"196","S01000196",988,596
"197","S01000197",644,419
"198","S01000198",782,455
"199","S01000199",820,478
"200","S01000200",849,441
"201","S01000201",664,355
"202","S01000202",882,569
"203","S01000203",792,487
"204","S01000204",677,458
"205","S01000205",1053,826
"206","S01000206",762,514
"207","S01000207",873,479
"208","S01000208",873,462
"209","S01000209",1029,603
"210","S01000210",586,408
"211","S01000211",751,421
"212","S01000212",814,482
"213","S01000213",734,395
"214","S01000214",543,325
"215","S01000215",726,529
"216","S01000216",687,462
"217","S01000217",705,473
"218","S01000218",737,431
"219","S01000219",696,418
"220","S01000220",2079,1813
"221","S01000221",934,520
"222","S01000222",770,429
"223","S01000223",574,403
"224","S01000224",837,514
"225","S01000225",645,416
"226","S01000226",666,460
"227","S01000227",666,461
"228","S01000228",688,503
"229","S01000229",817,466
"230","S01000230",689,442
"231","S01000231",804,546
"232","S01000232",692,371
"233","S01000233",601,333
"234","S01000234",767,533
"235","S01000235",905,570
"236","S01000236",756,494
"237","S01000237",1004,670
"238","S01000238",520,376
"239","S01000239",785,530
"240","S01000240",773,516
"241","S01000241",764,540
"242","S01000242",699,459
"243","S01000243",835,638
"244","S01000244",1123,708
"245","S01000245",1012,691
"246","S01000246",761,485
"247","S01000247",853,616
"248","S01000248",927,651
"249","S01000249",781,562
"250","S01000250",826,541
"251","S01000251",543,362
"252","S01000252",890,612
"253","S01000253",792,522
"254","S01000254",804,590
"255","S01000255",639,448
"256","S01000256",1033,615
"257","S01000257",857,580
"258","S01000258",672,459
"259","S01000259",617,412
"260","S01000260",904,616
"261","S01000261",1101,824
"262","S01000262",1025,701
"263","S01000263",389,281
"264","S01000264",1121,778
"265","S01000265",868,579
"266","S01000266",884,560
"267","S01000267",726,535
"268","S01000268",764,427
"269","S01000269",643,405
"270","S01000270",1074,677
"271","S01000271",808,486
"272","S01000272",915,522
"273","S01000273",946,600
"274","S01000274",624,367
"275","S01000275",1006,577
"276","S01000276",727,463
"277","S01000277",705,439
"278","S01000278",566,315
"279","S01000279",450,272
"280","S01000280",634,384
"281","S01000281",786,478
"282","S01000282",676,440
"283","S01000283",836,523
"284","S01000284",908,598
"285","S01000285",758,500
"286","S01000286",934,588
"287","S01000287",712,449
"288","S01000288",918,639
"289","S01000289",913,543
"290","S01000290",856,535
"291","S01000291",812,514
"292","S01000292",1030,601
"293","S01000293",753,384
"294","S01000294",721,436
"295","S01000295",658,450
"296","S01000296",586,371
"297","S01000297",776,508
"298","S01000298",302,200
"299","S01000299",986,586
"300","S01000300",867,591
"301","S01000301",603,383
"302","S01000302",589,365
"303","S01000303",639,402
"304","S01000304",735,495
"305","S01000305",1103,709
"306","S01000306",805,523
"307","S01000307",933,634
"308","S01000308",1047,713
"309","S01000309",717,438
"310","S01000310",920,612
"311","S01000311",1060,675
"312","S01000312",692,371
"313","S01000313",797,478
"314","S01000314",654,450
"315","S01000315",679,379
"316","S01000316",687,351
"317","S01000317",588,346
"318","S01000318",589,363
"319","S01000319",750,460
"320","S01000320",723,531
"321","S01000321",577,395
"322","S01000322",983,585
"323","S01000323",827,503
"324","S01000324",611,415
"325","S01000325",608,354
"326","S01000326",757,494
"327","S01000327",876,579
"328","S01000328",629,429
"329","S01000329",628,402
"330","S01000330",768,458
"331","S01000331",642,376
"332","S01000332",648,393
"333","S01000333",830,549
"334","S01000334",897,481
"335","S01000335",481,286
"336","S01000336",853,561
"337","S01000337",718,439
"338","S01000338",495,288
"339","S01000339",812,464
"340","S01000340",1049,672
"341","S01000341",758,471
"342","S01000342",481,268
"343","S01000343",669,419
"344","S01000344",822,501
"345","S01000345",680,431
"346","S01000346",727,503
"347","S01000347",494,320
"348","S01000348",886,581
"349","S01000349",619,379
"350","S01000350",417,268
"351","S01000351",1062,711
"352","S01000352",802,493
"353","S01000353",650,445
"354","S01000354",409,230
"355","S01000355",728,463
"356","S01000356",609,407
"357","S01000357",691,452
"358","S01000358",1029,702
"359","S01000359",572,360
"360","S01000360",548,326
"361","S01000361",559,362
"362","S01000362",893,609
"363","S01000363",969,631
"364","S01000364",910,578
"365","S01000365",547,371
"366","S01000366",715,478
"367","S01000367",745,478
"368","S01000368",770,452
"369","S01000369",1189,830
"370","S01000370",708,484
"371","S01000371",937,512
"372","S01000372",955,565
"373","S01000373",466,307
"374","S01000374",480,276
"375","S01000375",595,377
"376","S01000376",968,668
"377","S01000377",746,477
"378","S01000378",572,371
"379","S01000379",481,333
"380","S01000380",725,504
"381","S01000381",781,459
"382","S01000382",767,471
"383","S01000383",920,534
"384","S01000384",695,426
"385","S01000385",582,374
"386","S01000386",764,508
"387","S01000387",846,546
"388","S01000388",766,473
"389","S01000389",254,186
"390","S01000390",743,446
"391","S01000391",380,221
"392","S01000392",648,451
"393","S01000393",952,536
"394","S01000394",704,496
"395","S01000395",716,465
"396","S01000396",951,531
"397","S01000397",1012,654
"398","S01000398",833,565
"399","S01000399",602,410
"400","S01000400",818,503
"401","S01000401",883,557
"402","S01000402",593,383
"403","S01000403",870,559
"404","S01000404",750,499
"405","S01000405",597,403
"406","S01000406",754,488
"407","S01000407",682,437
"408","S01000408",311,216
"409","S01000409",679,434
"410","S01000410",657,436
"411","S01000411",589,402
"412","S01000412",779,515
"413","S01000413",835,536
"414","S01000414",606,389
"415","S01000415",570,316
"416","S01000416",569,358
"417","S01000417",1024,604
"418","S01000418",726,460
"419","S01000419",606,408
"420","S01000420",1026,607
"421","S01000421",614,399
"422","S01000422",691,380
"423","S01000423",910,570
"424","S01000424",667,449
"425","S01000425",903,530
"426","S01000426",814,528
"427","S01000427",836,572
"428","S01000428",828,557
"429","S01000429",809,505
"430","S01000430",611,420
"431","S01000431",683,360
"432","S01000432",996,636
"433","S01000433",520,300
"434","S01000434",699,435
"435","S01000435",606,430
"436","S01000436",701,465
"437","S01000437",1050,635
"438","S01000438",601,401
"439","S01000439",762,531
"440","S01000440",869,525
"441","S01000441",757,472
"442","S01000442",869,558
"443","S01000443",598,403
"444","S01000444",595,405
"445","S01000445",694,456
"446","S01000446",936,613
"447","S01000447",544,319
"448","S01000448",587,389
"449","S01000449",775,458
"450","S01000450",644,417
"451","S01000451",825,515
"452","S01000452",567,373
"453","S01000453",563,364
"454","S01000454",484,260
"455","S01000455",989,640
"456","S01000456",872,538
"457","S01000457",929,469
"458","S01000458",818,550
"459","S01000459",1043,625
"460","S01000460",797,470
"461","S01000461",891,516
"462","S01000462",885,440
"463","S01000463",876,625
"464","S01000464",776,512
"465","S01000465",671,455
"466","S01000466",805,529
"467","S01000467",636,409
"468","S01000468",473,309
"469","S01000469",691,495
"470","S01000470",1404,965
"471","S01000471",569,372
"472","S01000472",891,589
"473","S01000473",765,529
"474","S01000474",696,435
"475","S01000475",907,570
"476","S01000476",567,343
"477","S01000477",825,497
"478","S01000478",960,570
"479","S01000479",1114,674
"480","S01000480",544,321
"481","S01000481",831,582
"482","S01000482",912,541
"483","S01000483",1004,573
"484","S01000484",897,563
"485","S01000485",1098,739
"486","S01000486",1036,703
"487","S01000487",600,342
"488","S01000488",666,409
"489","S01000489",955,564
"490","S01000490",607,403
"491","S01000491",616,360
"492","S01000492",1060,638
"493","S01000493",623,361
"494","S01000494",608,341
"495","S01000495",1015,630
"496","S01000496",476,323
"497","S01000497",650,398
"498","S01000498",404,246
"499","S01000499",805,513
"500","S01000500",680,443
"501","S01000501",573,311
"502","S01000502",540,332
"503","S01000503",560,327
"504","S01000504",791,454
"505","S01000505",738,480
"506","S01000506",641,421
"507","S01000507",1068,612
"508","S01000508",875,570
"509","S01000509",1069,624
"510","S01000510",667,395
"511","S01000511",559,324
"512","S01000512",720,430
"513","S01000513",843,464
"514","S01000514",513,360
"515","S01000515",512,333
"516","S01000516",585,371
"517","S01000517",596,337
"518","S01000518",919,538
"519","S01000519",475,311
"520","S01000520",1012,628
"521","S01000521",964,590
"522","S01000522",631,444
"523","S01000523",847,505
"524","S01000524",653,438
"525","S01000525",992,620
"526","S01000526",985,614
"527","S01000527",573,366
"528","S01000528",889,600
